id, username, created_at, lng, lat, text
1253542470429753348, debiisusanto, Fri Apr 24 04:33:09 +0000 2020, 112.705515, -7.961284, Teman-teman, selamat menjalankan ibadah puasa ya. Semoga Tuhan melancarkan semuanya sampai hari kemenangan tiba. Se… https://t.co/nBWwlX5boo 
1253542472333975553, awitwh_, Fri Apr 24 04:33:09 +0000 2020, 110.408789, -7.767696, @MahasiswaUMS Dosen tercintaa (tp boong) wkwk 
1253542473202192385, KtcatsRahman, Fri Apr 24 04:33:09 +0000 2020, 101.686968, 3.138874, @CeraHusin Amin ra.. doakan akak ...doakan ramadan kali ni lebih baik dr sebelum2 ni.... doakan akan jadi baik n istiqamah ❤ 
1253542472174587906, a_ashash_, Fri Apr 24 04:33:09 +0000 2020, 138.450865, 34.788120, #お弁当胡麻塩玄米ご飯、鶏肉のガーリックソテー、オムレツ、ウインナー、きゅうりの塩昆布漬け、いちご🍓 https://t.co/hdRC8OhPRA 
1253542474338844672, SuciPus__, Fri Apr 24 04:33:10 +0000 2020, 110.408789, -7.767696, @adelalalaide Anjeng anak sialan -_- 
1253542475299319809, azeerahamir, Fri Apr 24 04:33:10 +0000 2020, 101.653675, 3.032925, Mana macam lah orang boleh enjoy kerja dekat rumah siap boleh buat macam-macam sedangkan aku kerja dari rumah dia p… https://t.co/OrLEB3h8Wk 
1253542475748143104, MusicgeekGeron, Fri Apr 24 04:33:10 +0000 2020, 120.933833, 14.675515, HOOOOOY! Less than 12 hours before #คั่นกูEP10 😂 Excited na ako marinig ulit ang Raikan Topeni at Est Cola. 55555+… https://t.co/lt0Rh4Zioy 
1253542475991379968, gemmannette, Fri Apr 24 04:33:10 +0000 2020, 121.124227, 14.606718, Nina: I want you to burrrrmn 
1253542476301783041, ReiSMITH1995, Fri Apr 24 04:33:10 +0000 2020, 120.536873, 17.955486, @GIANT_VIN Hanngang 3 am onwards tayo ganern. 
1253542476633247745, DavionMcConnell, Fri Apr 24 04:33:10 +0000 2020, 127.764409, 26.319714, @BrownBearMafia 
1253542477295828993, joancharmed, Fri Apr 24 04:33:10 +0000 2020, 120.966741, 14.751303, Yun pa pinili? 🤦‍♀️ Di bagay teh ghurl!Wala pa rin sa tono! 🤦‍♀️ 
1253542478407299072, hrnndzmtch, Fri Apr 24 04:33:11 +0000 2020, 120.995337, 14.438828, hahahaha BOLD 😫 
1253542478818369538, anggitadeska, Fri Apr 24 04:33:11 +0000 2020, 106.932335, -6.239147, @hasbulhadi @dimasharyow kalian ginj dong ntr sore nyari takjil 
1253542479858556928, YhaniGAGA, Fri Apr 24 04:33:11 +0000 2020, 121.006950, 14.532882, 🤷🏼‍♀️ 
1253542480269545473, chickendisbelab, Fri Apr 24 04:33:11 +0000 2020, 121.174816, 14.067509, Josh saan mo tinatago ang kinakain mo ah? Hindi pa end of the world hinay lang sa pagkain#SB19 @SB19Official… https://t.co/n64ogj3uft 
1253542481171341313, ijat_asni, Fri Apr 24 04:33:11 +0000 2020, 101.227257, 4.377878, @benasyraf Kann. Tengok sneak peek pun dah excited. 
1253542481603354624, butter_boy31, Fri Apr 24 04:33:11 +0000 2020, 101.850548, 15.571537, @tepballvingg11 ของโปรด บิ๊กชีสท์ที่ หัวแดงๆถอกๆใช่ไหมครับ 
1253542482509328385, rmysnchz, Fri Apr 24 04:33:12 +0000 2020, 125.329414, 5.737996, 🥺🥺 
1253542482773602304, enggaruu, Fri Apr 24 04:33:12 +0000 2020, 109.629800, -7.364780, Aku lupa aku lupa wkwkw https://t.co/ALDqvue7LA 
1253542482341699584, MrGenjiz, Fri Apr 24 04:33:12 +0000 2020, 103.145009, 1.910718, 🤣 https://t.co/fyogvdUK2t 
1253542483620794368, Jiiiyageeeyl, Fri Apr 24 04:33:12 +0000 2020, 120.461168, 15.589291, @stephmdna @lylelacandazo HAHAHAHA 
1253542484249993217, Nicolecayanan17, Fri Apr 24 04:33:12 +0000 2020, 121.031310, 14.407883, @DanaoPat tara na maglaro 
1253542484606517248, itsmeBLUE16, Fri Apr 24 04:33:12 +0000 2020, 125.142527, 6.144298, Dir gyud to na, nikalit lang shower akong luha hahaha like literally 😭 
1253542485613334528, nomnloey, Fri Apr 24 04:33:12 +0000 2020, 120.138632, -4.481001, @akusukasusuna Makasihh 
1253542485218869249, DediMunawar2, Fri Apr 24 04:33:12 +0000 2020, 95.942575, 5.375675, #ssdm_polri #tribrata#PolisiIndonesia #birosdmpoldaaceh #poldaaceh#rekrutmen_polri #polisihumanis… https://t.co/bn9HjXDdsA 
1253542485692841985, thesemproel, Fri Apr 24 04:33:12 +0000 2020, 106.802217, -6.189470, @Puji_wida Udah wa,cm centang 1 mba 
1253542486200340481, JekWrrn, Fri Apr 24 04:33:13 +0000 2020, 121.102140, 14.010905, Katamad kumain 
